,Unnamed: 0,Unnamed: 0.1,id_post,id_parent_post,id_article,id_user,created_at,status,headline,body,positive_votes,negative_votes,label_argumentsused,label_discriminating,label_inappropriate,label_offtopic,label_personalstories,label_possiblyfeedback,label_sentimentnegative,label_sentimentneutral,label_sentimentpositive,is_staff,article_path,article_title,article_publishing_date,text,lang,label_negative
0,126,3626,27821,27820.0,447,3112,2015-06-11 18:08:32.163,deleted,,"erstens ist die Zahl erfunden, und selbst wenn..., wenn deren kultureller Hintergrund der ""anatolische Islam"" gewesen wäre, dann wärs nix mit Gleichberechtigung zw. Mann und Frau, nix mit Life Ball, Conchita Wurst usw. ums mal so zu formulieren",5,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,Newsroom/Panorama/Gesellschaft/demografischerwandel,Österreichs Bevölkerung wuchs im Vorjahr um 77.000 Menschen,2015-06-11 13:01:46.000,"Erstens, selbst wenn die Zahl erfunden wurde und ihr kultureller Hintergrund ""anatolischer Islam"" war, gäbe es nichts wie Gleichheit zwischen Männern und Frauen, Lebensbälle, Concita Wurst usw.",ja,1
1,127,4463,77217,77211.0,1178,28291,2015-09-07 20:45:29.993,online,"vor aölem nach den müllbergen am wochenende, die die gemeinde von den türken dann auf gemeindekosten entsorgen darf..",,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,daStandard/daAlltag,"""Verschmutzte Parks, laute Kinder, Ausländer""",2015-06-30 21:11:04.000,Vor dem Aölem nach dem Wochenend-Müllhaufen kann die Gemeinde dann auf Kosten der Gemeinde von den Türken entsorgt werden.,ja,1
2,128,5075,148473,,1924,27712,2015-07-25 00:32:56.873,online,"Hallo Thomas,","ich mache Dich darauf aufmerksam, daß Du hier in Gutmenschen-Forum unterwegs bist! Hier gibt's keine Gnade!",1,8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,Newsroom/Web/Netzpolitik/Hasspostings,Porsche entlässt Lehrling nach Hassposting auf Facebook,2015-07-24 11:09:44.000,"Hallo Thomas, ich möchte Sie darauf aufmerksam machen, dass Sie hier im Gutmenschen Forum sind!",ja,1
3,129,5434,246926,246925.0,2928,5179,2015-08-27 17:08:08.170,online,,Hat der Fahrer von jedem vermuteten Flüchtling 10.000 Euro erhalten?,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,Meinung/Kommentare/FoederlSchmid,Die EU kann etwas gegen Schlepper tun,2015-08-27 16:02:49.000,Hat der Fahrer 10.000 Euro von dem mutmaßlichen Flüchtling erhalten?,ja,1
4,130,5436,247490,,2943,19686,2015-08-28 13:15:37.740,online,"Wann gibts den ersten Politiker/die erste Politikerin,","die aus Prinzip nicht mehr mit der Krone spricht? Das ekelhafte Hetzblatt hat sich schon vollständig als »Nachrichtenmedium« disqualifiziert.

So was muss man nicht zu PKs einladen, sowas muss man keine Interviews geben. Und vor allem muss sich der journalistische Berufsstand sich bei der Nase nehmen und sicherstellen, dass jemand, der auch nur einen Tag dort gearbeitet hat, nie wieder bei einem anderen Medium Arbeit bekommt. Das sind keine KollegInnen!",16,3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,Newsroom/Etat/PRINT/Mediaprint/krone,"""Krone""-Foto mit toten Flüchtlingen ""unentschuldbar""",2015-08-28 12:42:35.240,"Wann spricht der erste Politiker im Prinzip nicht mehr mit der Krone? Ekelhafte Hassblätter wurden bereits vollständig als ""Nachrichtenmedien"" disqualifiziert.   Du musst dich nicht zu einer solchen PK einladen, du musst kein solches Interview geben. Und vor allem muss der Beruf des Journalismus auf sich selbst schauen und es verwirklichen, dass selbst eines Tages der Mensch, der dort gearbeitet hat, nie wieder für ein anderes Medium arbeiten wird. Das sind keine Kollegen!",ja,1
5,131,5493,290992,290984.0,3398,24176,2015-09-10 21:57:03.907,online,,na ich hoffe der ungebremste zuzug von moslems bzw deren einbürgerung wird dann irgendwie erschwert oder gar gestoppt.,10,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,Newsroom/Panorama/Flucht/Flucht_und_Politik/europathema,Ungarn winkt Flüchtlinge nach Österreich durch – rund 7.500 am Donnerstag,2015-09-10 17:50:54.840,"Nun, ich hoffe, dass der ungezügelte Zustrom von Muslimen oder ihre Einbürgerung irgendwie schwierig werden oder gestoppt werden.",ja,1
6,132,5964,318890,318886.0,3650,7263,2015-09-21 00:13:53.707,online,"""Dürfen die Österreicher nicht auch irgendwann sagen dass sie genug haben?""","Wir sind schließlich noch bessere Menschen als es die Deutschen jemals sein werden. 

Darum müssen wir Österreicher pro-Kopf (bis Juni/Juli 2015 an der 3. Stelle pro-Kopf nach Schweden und Malta) auch mehr Flüchtlinge aufnehmen als die ohnehin schon guten Deutschen.

Wir müssen schließlich WILLKOMMENS-KULTUR-WELTMEISTER werden!

Hoffentlich kann unser herzlicher und für alle Flüchtlinge sich erbarmender Faymann bald - und für alle Ewigkeiten - den Willkommens-Kultur-Weltmeister-Nobelpreis entgegennehmen. 

Ich würds ihm von Herzen vergönnen.",3,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,Newsroom/Panorama/Flucht/Flucht_und_Politik/europathema,Noch tausend Flüchtlinge am Abend in Nickelsdorf,2015-09-20 19:43:56.000,"""Können Sie nicht sagen, dass die Österreicher irgendwann genug haben?    Deshalb müssen die Österreicher pro Kopf (bis Juni/Juli 2015, Platz drei pro Kopf nach Schweden und Malta) auch mehr Flüchtlinge aufnehmen als bereits gute Deutsche.   Schließlich müssen wir Willkommenskultur-Weltmeister werden!   Hoffentlich kann der wohlwollende Faymann bei all unseren Warmes und Flüchtlingen bald den Welcome Culture World Champion Nobelpreis entgegennehmen.    Ich werde ihm ein Herz geben.",ja,1
7,133,6032,350718,,4082,12197,2015-10-04 20:26:58.747,online,,Schwimmt der auf der anderen Seite des Flußufers? So hört er sich nämlich an...,0,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,Newsroom/Web/Webvermischtes,"Österreichischer Youtube-Star: ""Hello friends, ich bin eh ganz normal""",2015-10-04 16:45:09.000,Schwimmt er auf der anderen Seite des Flussufers? Das klingt nach ihm.,ja,1
8,134,6096,385218,385217.0,4498,11311,2015-10-17 21:12:53.677,deleted,,"""Frischer Wind in die religöse Ebene""...
Genau darauf kann hundertprozentig verzichtet werden! Über alles andere kann man reden, aber ein Europa, wo in 30 Jahren von jedem Kirchturm ein Muezzin herunterschreit, das brauchen wir ganz sicher nicht! Europäische Religionskriege, Aufklärung und Revolutionen gegen den Feudalismus dürfen nicht umsonst gewesen sein. Es kann einfach nicht sein, dass in Zukunft patriarchalische Hinterwäldler mit mittelalterlichen Gesellschaftsvorstellungen unsere Politik bestimmen! Wenn wir nicht aufpassen, kommt es aber so, siehe Kosovo. Dort leben heute aufgrund ihrer hohen Geburtenrate 90% großteils islamische Albaner und nur noch 7% Serben. Vor 100 Jahren war es genau umgekehrt.",0,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,Newsroom/Panorama,Bayern: AfD marschierte an Grenze zu Salzburg auf,2015-10-17 15:10:52.000,"""Frischer Wind in die religiösen Ebenen"". Wir können über alles andere reden, aber wir brauchen sicher kein Europa, in dem Muetzin 30 Jahre später aus allen Kirchtürmen schreit! In Zukunft ist es unwahrscheinlich, wenn ein abtretender Hinterbänkler mit mittelalterlichen gesellschaftsischen Ideen unsere Politik beschließt! Aufgrund der hohen Geburtenrate leben heute nur 90 % der islamischen Albaner und 7 % der Serben dort. Vor 1 00 00 Jahren war es das Gegenteil.",ja,1
9,135,8079,616098,616094.0,7363,30704,2016-01-16 16:37:08.693,online,,"Nein, natürlich gibt es nicht eine einzig richtige Lebensweise.

ABER wenn man in einem fremden Land aufgenommen wird, muss man nicht meinen dessen Bevölkerung von der eigenen Lebensweise und den eigenen Werten überzeugen zu müssen. 
Genau das passiert doch gerade.

Auf Afrika geh ich nicht näher ein. Da müsste man zu weit ausholen. Ich hoffe nur die Millionen, welche an der Küste warten bleiben uns erspart, so hart es klingt.

Und klar beruht unser Wohlstand auf der Armut der anderen, das hat jedoch jeder selbst in der Hand. Solange man in einen Kik oder Primarkt rennt wird sich das auch nicht ändern.
Ein wenig Eigenverantwortung und Bewusstsein sollte dann schon sein.",0,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,Newsroom/International/Afrika/BurkinaFaso,Burkina Faso: Mindestens 23 Tote bei Angriff auf Hotel,2016-01-15 21:53:28.300,"Nein, natürlich gibt es keine richtige Lebensweise.   Aber wenn man im Ausland akzeptiert wird, braucht man die Bevölkerung nicht von seiner eigenen Lebensweise und Werten zu überzeugen.  Das ist genau das, was passiert.   Ich werde nicht mehr nach Afrika gehen. Man muss zu weit gehen. Ich hoffe nur, dass uns die Millionen von Menschen, die am Ufer warten, so hart erspart bleiben, dass sie gehört werden können.   Und natürlich basiert unser Wohlstand auf der Armut anderer, aber jeder hat ihn selbst in der Hand. Solange man auf Kik oder Primarkt stößt, wird sich daran nichts ändern. Es sollte schon ein wenig Eigenverantwortung und Bewusstsein geben.",ja,1
